player_name,team_name
MS Dhoni(c),Chennai Super Kings Squad:
Suresh Raina,Chennai Super Kings Squad:
Ravindra Jadeja,Chennai Super Kings Squad:
Faf du Plessis,Chennai Super Kings Squad:
Harbhajan Singh,Chennai Super Kings Squad:
Dwayne Bravo,Chennai Super Kings Squad:
Shane Watson,Chennai Super Kings Squad:
Ambati Rayudu,Chennai Super Kings Squad:
Deepak Chahar,Chennai Super Kings Squad:
KM Asif,Chennai Super Kings Squad:
Kanishk Seth,Chennai Super Kings Squad:
Lungi Ngidi,Chennai Super Kings Squad:
Dhruv Shorey,Chennai Super Kings Squad:
Murali Vijay,Chennai Super Kings Squad:
Sam Billings,Chennai Super Kings Squad:
Mark Wood,Chennai Super Kings Squad:
Kshitiz Sharma,Chennai Super Kings Squad:
Monu Kumar,Chennai Super Kings Squad:
Chaitanya Bishnoi,Chennai Super Kings Squad:
Imran Tahir,Chennai Super Kings Squad:
Karn Sharma,Chennai Super Kings Squad:
Shardul Thakur,Chennai Super Kings Squad:
N Jagadeesan,Chennai Super Kings Squad:
David Willey,Chennai Super Kings Squad:
Virat Kohli(c),Royal Challengers Bangalore Squad:
AB de Villiers,Royal Challengers Bangalore Squad:
Sarfaraz Khan,Royal Challengers Bangalore Squad:
Brendon McCullum,Royal Challengers Bangalore Squad:
Chris Woakes,Royal Challengers Bangalore Squad:
Colin de Grandhomme,Royal Challengers Bangalore Squad:
Moeen Ali,Royal Challengers Bangalore Squad:
Quinton de Kock,Royal Challengers Bangalore Squad:
Umesh Yadav,Royal Challengers Bangalore Squad:
Yuzvendra Chahal,Royal Challengers Bangalore Squad:
Manan Vohra,Royal Challengers Bangalore Squad:
Kulwant Khejroliya,Royal Challengers Bangalore Squad:
Aniket Choudhary,Royal Challengers Bangalore Squad:
Navdeep Saini,Royal Challengers Bangalore Squad:
Murugan Ashwin,Royal Challengers Bangalore Squad:
Mandeep Singh,Royal Challengers Bangalore Squad:
Washington Sundar,Royal Challengers Bangalore Squad:
Pawan Negi,Royal Challengers Bangalore Squad:
Mohammed Siraj,Royal Challengers Bangalore Squad:
Parthiv Patel,Royal Challengers Bangalore Squad:
Aniruddha Joshi,Royal Challengers Bangalore Squad:
Pavan Deshpande,Royal Challengers Bangalore Squad:
Tim Southee,Royal Challengers Bangalore Squad:
Corey Anderson,Royal Challengers Bangalore Squad:
Shreyas Iyer(c),Delhi Daredevils Squad:
Rishabh Pant,Delhi Daredevils Squad:
Glenn Maxwell,Delhi Daredevils Squad:
Gautam Gambhir,Delhi Daredevils Squad:
Jason Roy,Delhi Daredevils Squad:
Colin Munro,Delhi Daredevils Squad:
Mohammed Shami,Delhi Daredevils Squad:
Amit Mishra,Delhi Daredevils Squad:
Prithvi Shaw,Delhi Daredevils Squad:
Rahul Tewatia,Delhi Daredevils Squad:
Vijay Shankar,Delhi Daredevils Squad:
Harshal Patel,Delhi Daredevils Squad:
Avesh Khan,Delhi Daredevils Squad:
Shahbaz Nadeem,Delhi Daredevils Squad:
Daniel Christian,Delhi Daredevils Squad:
Jayant Yadav,Delhi Daredevils Squad:
Gurkeerat Singh Mann,Delhi Daredevils Squad:
Trent Boult,Delhi Daredevils Squad:
Manjot Kalra,Delhi Daredevils Squad:
Abhishek Sharma,Delhi Daredevils Squad:
Sandeep Lamichhane,Delhi Daredevils Squad:
Naman Ojha,Delhi Daredevils Squad:
Sayan Ghosh,Delhi Daredevils Squad:
Liam Plunkett,Delhi Daredevils Squad:
Junior Dala,Delhi Daredevils Squad:
Rohit Sharma(c),Mumbai Indians Squad:
Jasprit Bumrah,Mumbai Indians Squad:
Hardik Pandya,Mumbai Indians Squad:
Kieron Pollard,Mumbai Indians Squad:
Mustafizur Rahman,Mumbai Indians Squad:
Suryakumar Yadav,Mumbai Indians Squad:
Krunal Pandya,Mumbai Indians Squad:
Ishan Kishan,Mumbai Indians Squad:
Rahul Chahar,Mumbai Indians Squad:
Evin Lewis,Mumbai Indians Squad:
Saurabh Tiwary,Mumbai Indians Squad:
Ben Cutting,Mumbai Indians Squad:
Pradeep Sangwan,Mumbai Indians Squad:
Jean-Paul Duminy,Mumbai Indians Squad:
Tajinder Singh,Mumbai Indians Squad:
Sharad Lumba,Mumbai Indians Squad:
Siddhesh Lad,Mumbai Indians Squad:
Aditya Tare,Mumbai Indians Squad:
Mayank Markande,Mumbai Indians Squad:
Akila Dananjaya,Mumbai Indians Squad:
Anukul Roy,Mumbai Indians Squad:
Mohsin Khan,Mumbai Indians Squad:
MD Nidheesh,Mumbai Indians Squad:
Mitchell McClenaghan,Mumbai Indians Squad:
Adam Milne,Mumbai Indians Squad:
Andre Russell,Kolkata Knight Riders Squad:
Sunil Narine,Kolkata Knight Riders Squad:
Chris Lynn,Kolkata Knight Riders Squad:
Dinesh Karthik(c),Kolkata Knight Riders Squad:
Robin Uthappa,Kolkata Knight Riders Squad:
Mitchell Johnson,Kolkata Knight Riders Squad:
Piyush Chawla,Kolkata Knight Riders Squad:
Kuldeep Yadav,Kolkata Knight Riders Squad:
Shubman Gill,Kolkata Knight Riders Squad:
Ishank Jaggi,Kolkata Knight Riders Squad:
Nitish Rana,Kolkata Knight Riders Squad:
Vinay Kumar,Kolkata Knight Riders Squad:
Apoorv Wankhade,Kolkata Knight Riders Squad:
Rinku Singh,Kolkata Knight Riders Squad:
Shivam Mavi,Kolkata Knight Riders Squad:
Cameron Delport,Kolkata Knight Riders Squad:
Javon Searles,Kolkata Knight Riders Squad:
Tom Curran,Kolkata Knight Riders Squad:
Prasidh Krishna,Kolkata Knight Riders Squad:
Ben Stokes,Rajasthan Royals Squad:
Stuart Binny,Rajasthan Royals Squad:
Sanju Samson,Rajasthan Royals Squad:
Jos Buttler,Rajasthan Royals Squad:
Rahul Tripathi,Rajasthan Royals Squad:
D Arcy Short,Rajasthan Royals Squad:
Krishnappa Gowtham,Rajasthan Royals Squad:
Jofra Archer,Rajasthan Royals Squad:
Dhawal Kulkarni,Rajasthan Royals Squad:
Jaydev Unadkat,Rajasthan Royals Squad:
Ankit Sharma,Rajasthan Royals Squad:
Anureet Singh,Rajasthan Royals Squad:
Shreyas Gopal,Rajasthan Royals Squad:
Prashant Chopra,Rajasthan Royals Squad:
Sudhesan Midhun,Rajasthan Royals Squad:
Ben Laughlin,Rajasthan Royals Squad:
Mahipal Lomror,Rajasthan Royals Squad:
Aryaman Birla,Rajasthan Royals Squad:
Jatin Saxena,Rajasthan Royals Squad:
Dushmantha Chameera,Rajasthan Royals Squad:
Ajinkya Rahane(c),Rajasthan Royals Squad:
Heinrich Klaasen,Rajasthan Royals Squad:
Ish Sodhi,Rajasthan Royals Squad:
Axar Patel,Kings XI Punjab Squad:
Ravichandran Ashwin(c),Kings XI Punjab Squad:
Yuvraj Singh,Kings XI Punjab Squad:
Karun Nair,Kings XI Punjab Squad:
Lokesh Rahul,Kings XI Punjab Squad:
Chris Gayle,Kings XI Punjab Squad:
David Miller,Kings XI Punjab Squad:
Aaron Finch,Kings XI Punjab Squad:
Marcus Stoinis,Kings XI Punjab Squad:
Mayank Agarwal,Kings XI Punjab Squad:
Ankit Rajpoot,Kings XI Punjab Squad:
Manoj Tiwary,Kings XI Punjab Squad:
Mohit Sharma,Kings XI Punjab Squad:
Mujeeb Ur Rahman,Kings XI Punjab Squad:
Barinder Sran,Kings XI Punjab Squad:
Andrew Tye,Kings XI Punjab Squad:
Akshdeep Nath,Kings XI Punjab Squad:
Ben Dwarshuis,Kings XI Punjab Squad:
Pardeep Sahu,Kings XI Punjab Squad:
Mayank Dagar,Kings XI Punjab Squad:
Manzoor Dar,Kings XI Punjab Squad:
Bhuvneshwar Kumar,Sunrisers Hyderabad Squad:
Shikhar Dhawan,Sunrisers Hyderabad Squad:
Shakib Al Hasan,Sunrisers Hyderabad Squad:
Kane Williamson(c),Sunrisers Hyderabad Squad:
Manish Pandey,Sunrisers Hyderabad Squad:
Carlos Brathwaite,Sunrisers Hyderabad Squad:
Yusuf Pathan,Sunrisers Hyderabad Squad:
Wriddhiman Saha,Sunrisers Hyderabad Squad:
Rashid Khan,Sunrisers Hyderabad Squad:
Ricky Bhui,Sunrisers Hyderabad Squad:
Deepak Hooda,Sunrisers Hyderabad Squad:
Siddarth Kaul,Sunrisers Hyderabad Squad:
T Natarajan,Sunrisers Hyderabad Squad:
Mohammad Nabi,Sunrisers Hyderabad Squad:
Basil Thampi,Sunrisers Hyderabad Squad:
K Khaleel Ahmed,Sunrisers Hyderabad Squad:
Sandeep Sharma,Sunrisers Hyderabad Squad:
Sachin Baby,Sunrisers Hyderabad Squad:
Chris Jordan,Sunrisers Hyderabad Squad:
Tanmay Agarwal,Sunrisers Hyderabad Squad:
Shreevats Goswami,Sunrisers Hyderabad Squad:
Bipul Sharma,Sunrisers Hyderabad Squad:
Mehdi Hasan,Sunrisers Hyderabad Squad:
Alex Hales,Sunrisers Hyderabad Squad:
